"asciiname","population","latitude","longitude"
Lisbon,517802,38.71667,-9.13333
Porto,249633,41.14961,-8.61099
Amadora,178858,38.75382,-9.23083
Braga,121394,41.55032,-8.42005
Setubal,117110,38.5244,-8.8882
Coimbra,106582,40.20564,-8.41955
Queluz,103399,38.75657,-9.25451
Cacem,93982,38.76698,-9.29793
Vila Nova de Gaia,70811,41.12401,-8.61241
Algueirao,66250,38.79764,-9.3437
Loures,66231,38.83091,-9.16845
Felgueiras,58065,41.36806,-8.19396
Evora,55620,38.56667,-7.9
Rio de Mouro,54695,38.76613,-9.32804
Odivelas,54624,38.79269,-9.1838
Aveiro,54162,40.64427,-8.64554
Amora,52577,38.62961,-9.11557
Corroios,52520,38.64004,-9.1508
Barreiro,51280,38.66314,-9.0724
Monsanto,50000,39.46203,-8.7118
Rio Tinto,49966,41.17872,-8.55953
Sao Domingos de Rana,46718,38.70194,-9.34083
Figueira da Foz,46600,40.15085,-8.86179
Leiria,45112,39.74362,-8.80705
Ponte de Lima,44667,41.76719,-8.58393
Faro,41355,37.01937,-7.93223
Sesimbra,41134,38.44451,-9.10149
Guimaraes,40604,41.44443,-8.29619
Ermesinde,39420,41.21653,-8.55318
Santo Antonio dos Olivais,38936,40.21805,-8.40523
Portimao,38487,37.13856,-8.53775
Benfica,36985,38.75087,-9.20282
Cascais,36436,38.69681,-9.42147
Maia,36426,41.23574,-8.6199
Viana do Castelo,36148,41.69323,-8.83287
Oeiras,35000,38.69105,-9.31085
Beja,34760,38.01506,-7.86323
Esposende,34625,41.5361,-8.78201
Braganca,34375,41.80582,-6.75719
Almada,34008,38.67902,-9.1569
Olivais,33788,38.76994,-9.10674
Castelo Branco,33479,39.82219,-7.49087
Alcabideche,33315,38.73366,-9.40928
Espinho,32786,41.00763,-8.64125
Guarda,32111,40.53733,-7.26575
Alvalade,31813,38.75328,-9.14397
Arrentela,30156,38.625,-9.10151
Montijo,30011,38.70675,-8.97388
Charneca de Caparica,29763,38.62032,-9.19426
Santarem,29385,39.23333,-8.68333
Olhao,29239,37.0286,-7.8411
Povoa de Varzim,29044,41.38344,-8.76364
Senhora da Hora,28930,41.18641,-8.65172
Marinha Grande,28916,39.74769,-8.93228
Povoa de Santa Iria,28901,38.86101,-9.06453
Sequeira,28502,40.55364,-7.22594
Massama,28112,38.75279,-9.2811
Matosinhos,28070,41.18207,-8.68908
Gondomar,27691,41.14454,-8.53223
Aguas Santas,27686,41.21017,-8.57599
Vila do Conde,27642,41.35326,-8.74516
Caldas da Rainha,27378,39.40326,-9.13839
Canidelo,26431,41.12314,-8.64654
Viseu,26364,40.66101,-7.90971
Sintra,26193,38.80097,-9.37826
Paco de Arcos,25974,38.69569,-9.29143
Sao Mamede de Infesta,25940,41.19183,-8.61105
Quinta Do Conde,25606,38.56528,-9.04316
Torres Vedras,24443,39.09109,-9.2586
Oliveira do Douro,24407,41.12466,-8.58463
Fanzeres,23916,41.16754,-8.52981
Estoril,23700,38.70571,-9.39773
Carnaxide,23698,38.72706,-9.24671
Pinhal Novo,23510,38.63106,-8.91376
Monte Estoril,23375,38.70636,-9.40595
Pontinha,23249,38.76771,-9.19935
Loule,23109,37.13772,-8.01968
Arcos de Valdevez,22847,41.84668,-8.41905
Moscavide e Portela,22488,38.77929,-9.10222
Sao Joao da Madeira,22079,40.9007,-8.4902
Lavradio,21877,38.66808,-9.05204
Bougado,21680,41.33979,-8.5518
Valongo,21328,41.18883,-8.49857
Caparica,21167,38.66179,-9.20032
Belas,21019,38.7767,-9.26353
Laranjeira,20988,38.65599,-9.15376
Linda-a-Velha,20895,38.71446,-9.2422
Trofa,20692,41.33729,-8.5596
Baiao,20522,41.16273,-8.0347
Laranjeiro,20473,37.06799,-7.8078
Carcavelos,20366,38.69105,-9.32215
Camarate,20177,38.80358,-9.12809
Entroncamento,19887,39.46667,-8.46667
Paredes,19834,41.20485,-8.33147
Moncao,19738,42.07892,-8.48076
Piedade,19472,38.67005,-9.15852
Custoias,19406,41.1053,-7.32097
Alges,19327,38.70245,-9.22936
Tomar,19168,39.60199,-8.40924
Barcelos,19085,41.53174,-8.61843
Pedroso,18963,41.41103,-8.74897
Vilar de Andorinho,18944,41.10574,-8.58622
Sao Joao da Talha,18925,38.82378,-9.09719
Azeitao,18877,38.51919,-9.0139
Lagos,18831,37.10202,-8.67422
Quarteira,18783,37.06946,-8.10064
Santa Iria da Azoia,18573,38.8411,-9.09908
Ovar,18452,40.85862,-8.62513
Vila Franca de Xira,18355,38.95525,-8.98966
Leca da Palmeira,17996,41.191,-8.70027
Moita,17795,38.65078,-8.99038
Sacavem,17718,38.79202,-9.10801
Covilha,17610,40.28106,-7.50504
Ramada,17535,38.80368,-9.1877
Chaves,17535,41.74019,-7.46879
Pombal,17355,39.91674,-8.62847
Ilhavo,17236,40.60188,-8.67021
Parede,17212,38.69282,-9.35412
Condeixa-a-Nova,17078,40.11283,-8.49804
Alfragide,17044,38.73203,-9.2192
Sao Pedro da Cova,17011,41.14331,-8.50033
Vila Real,17001,41.30062,-7.74413
Palmela,16934,38.56902,-8.90126
Fafe,16868,41.45083,-8.17258
Cabeceiras de Basto,16710,41.51431,-7.98942
Feira,16376,40.92535,-8.54277
Leca do Bailio,16103,41.21201,-8.63422
Vialonga,16088,38.87206,-9.07805
Albufeira,15851,37.08819,-8.2503
Baguim do Monte,15850,41.19203,-8.54118
Alcobaca,15800,39.55223,-8.97749
Peniche,15662,39.3558,-9.38112
Portalegre,15581,39.29379,-7.43122
Alfena,15211,41.23671,-8.52454
Tavira,15133,37.12734,-7.64861
Torres Novas,15002,39.48114,-8.53949
Povoa de Santo Adriao,14897,38.8,-9.16667
Gafanha da Nazare,14840,40.63621,-8.71338
Vilar do Paraiso,14727,41.08974,-8.6211
Valbom,14443,41.12921,-8.56199
Arcozelo,14352,41.06187,-8.63192
Canelas,14247,41.08333,-8.6
Costa de Caparica,14231,38.64458,-9.23556
Valenza,14172,42.02418,-8.63474
Samora Correia,14154,38.93709,-8.87178
Santo Tirso,14021,41.34257,-8.47746
Porto Salvo,13867,38.72293,-9.30473
Abrantes,13646,39.46667,-8.2
Esgueira,13431,40.64899,-8.62943
Alhos Vedros,13384,38.65486,-9.02368
Moreira,12890,41.24756,-8.64788
Montemor-o-Novo,12854,38.64812,-8.21455
Sines,12791,37.95622,-8.86979
Beato Antonio,12737,38.73327,-9.10335
Ourem,12729,39.64167,-8.5919
Pedroucos,12553,41.1888,-8.58624
Perafita,12538,41.18252,-8.2545
Mirandela,12504,41.48739,-7.18695
Azenha,12260,41.07651,-8.62468
Mafra,12259,38.93793,-9.32756
Aldeia de Paio Pires,12179,38.61667,-9.08333
Tabua,12071,40.36207,-8.02936
Rio Maior,12064,39.33732,-8.93906
Barcarena,11968,38.73245,-9.28
Alijo,11942,41.27536,-7.47465
Agueda,11941,40.5772,-8.44442
Fatima,11798,39.62071,-8.65237
Oliveira de Azemeis,11771,40.84101,-8.47555
Semelhe,11700,41.55437,-8.46281
Real,11700,41.55841,-8.4433
Sao Felix da Marinha,11685,41.03555,-8.62259
Santa Comba Dao,11597,40.39856,-8.1316
Avintes,11577,41.10711,-8.55131
Vila Real de Santo Antonio,11560,37.195,-7.41766
Almeirim,11557,39.20837,-8.62635
Rebordosa,11491,41.22405,-8.40669
Lousa,11445,40.11673,-8.24921
Esmoriz,11393,40.95773,-8.62753
Calendario,11357,41.40361,-8.52967
Moreira,11336,41.056,-8.38939
Vendas Novas,11248,38.67706,-8.45792
Santo Andre,11213,39.05532,-8.24414
Obidos,11187,39.36055,-9.1567
Sao Bras de Alportel,11153,37.1531,-7.88751
Sobreda,11146,38.64961,-9.18977
Santo Antonio da Charneca,11143,38.62561,-9.03043
Cucujaes,11087,40.87413,-8.50687
Ponte de Sor,11062,39.24964,-8.01009
Foz do Douro,10997,41.15119,-8.67125
Canecas,10978,38.81321,-9.22679
Anta,10951,41.26634,-8.62844
Lamego,10928,41.09741,-7.80991
Silves,10917,37.18921,-8.43822
Grijo,10907,41.02836,-8.58017
Vale da Amoreira,10828,39.06969,-7.69849
Grandola,10737,38.17718,-8.56675
Unhos,10712,38.81958,-9.12007
Gulpilhares,10660,41.08292,-8.62679
Margaride,10652,41.36478,-8.19999
Santo Andre,10601,38.06078,-8.7822
Charneca,10509,38.78351,-9.14348
Cartaxo,10502,39.16022,-8.78741
Aver-o-Mar,10501,41.40607,-8.77958
Sao Joao das Lampas,10484,38.87376,-9.39842
Carregado,10474,39.02362,-8.97692
Melres,10328,41.06989,-8.40091
Caldas de Vizela,10239,41.38212,-8.3089
Selho,10223,41.41938,-8.34599
Moimenta da Beira,10212,40.98383,-7.61765
Lordelo,10035,41.23451,-8.40297
Meadela,9981,41.70654,-8.79628
Elvas,9904,38.8815,-7.16282
Almancil,9898,37.08686,-8.03074
Maceira,9831,39.68853,-8.89423
Fundao,9725,40.14025,-7.50135
Alcochete,9705,38.75534,-8.96086
Santa Clara,9637,40.19985,-8.44018
Lavra,9633,41.25935,-8.71849
Alenquer,9626,39.05315,-9.00928
Lourosa,9619,40.9842,-8.55142
Madalena,9618,41.21616,-8.33451
Sao Joao de Ver,9568,40.95527,-8.55117
Rio de Loba,9529,40.66596,-7.87781
Vila Nova de Famalicao,9496,41.40797,-8.51978
Famoes,9435,38.78804,-9.21033
Moura,9360,38.1401,-7.44856
Estremoz,9350,38.84432,-7.58585
Abraveses,9319,40.68137,-7.92102
Valadares,9255,41.14737,-7.9812
Guifoes,9231,41.19748,-8.66899
Alcacer do Sal,9198,38.37326,-8.51444
Lourinha,9196,39.24166,-9.31254
Gondizalves,9148,41.54158,-8.4557
Quinta do Anjo,9124,38.56753,-8.94228
Vinhais,9066,41.83509,-7.00501
Marco de Canavezes,9042,41.18389,-8.14864
Caxias,9007,38.70314,-9.27666
Mem Martins,9000,38.79443,-9.34284
Nazare,8993,39.60289,-9.06836
Benavente,8932,38.97919,-8.80759
Campo,8916,41.18516,-8.46493
Mangualde,8895,40.60425,-7.76115
Queijas,8828,38.71925,-9.26255
Tondela,8800,40.51682,-8.08087
Coruche,8776,38.95955,-8.52524
Argoncilhe,8743,41.02541,-8.53885
Ribeirao,8735,41.36081,-8.56774
Fiaes,8708,40.99446,-8.52537
Sao Romao do Coronado,8697,41.28544,-8.5632
Estombar,8590,37.14629,-8.48505
Tavarede,8586,40.16692,-8.84568
Torre de Moncorvo,8572,41.17454,-7.05364
Benedita,8556,39.4247,-8.96996
Moncarapacho,8545,37.0836,-7.78763
Aves,8507,41.37034,-8.4101
Alpendurada,8485,41.08944,-8.24643
Soure,8416,40.05989,-8.62605
Bobadela,8399,38.80774,-9.09925
Sao Bartolomeu de Messines,8381,37.25648,-8.28672
Casteloes de Cepeda,8322,41.20265,-8.33516
Vila Vicosa,8319,38.7777,-7.41793
Atouguia da Baleia,8313,39.33814,-9.3263
Murtosa,8282,40.73695,-8.6377
Almargem,8271,38.84485,-9.27315
Campo Maior,8235,39.01774,-7.06497
Beduido,8201,40.76427,-8.5611
Darque,8092,41.68333,-8.76667
Penafiel,8065,41.20835,-8.28285
Serzedo,8000,41.40502,-8.22926
Freamunde,7983,41.28835,-8.33533
Albergaria-a-Velha,7974,40.69318,-8.47994
Alpiarca,7946,39.25712,-8.58187
Batalha,7910,39.66025,-8.82475
Colares,7905,38.79921,-9.44691
Serzedo,7891,41.05105,-8.61605
Sao Joao da Pesqueira,7874,41.14805,-7.40489
Ferreiros,7870,41.35,-8.55
Joane,7869,41.43906,-8.40846
Buarcos,7865,40.16604,-8.8768
Miranda do Corvo,7857,40.09318,-8.33261
Santiago do Cacem,7797,38.01693,-8.69475
Sande,7789,41.7019,-8.39246
Pragal,7701,38.67459,-9.16981
Mira,7682,40.42892,-8.73746
Castanheira do Ribatejo,7651,38.99298,-8.97346
Vale de Cambra,7649,40.8497,-8.39389
Ericeira,7538,38.96275,-9.41563
Mondim de Basto,7493,41.41157,-7.95441
Miranda do Douro,7482,41.49692,-6.27308
Nisa,7450,39.51499,-7.64908
Almodovar,7449,37.51279,-8.06008
Cantanhede,7347,40.34671,-8.59419
Vila Nova da Barquinha,7322,39.46081,-8.43588
Vila Nova de Foz Coa,7312,41.08194,-7.14146
Apulia e Fao,7301,41.51194,-8.77288
Aradas,7295,40.62084,-8.64195
Mertola,7274,37.64304,-7.6611
Mozelos,7230,41.86774,-8.39776
Alhandra,7226,38.92732,-9.00864
Reguengos de Monsaraz,7217,38.42529,-7.53494
Silvalde,7188,40.99205,-8.62567
Apelacao,7182,38.81387,-9.13225
Azambuja,7179,39.07029,-8.86822
Oia,7118,40.54264,-8.53856
Seia,7082,40.4151,-7.70859
Jovim,7067,41.11102,-8.51903
Ponte,7041,41.47057,-8.3299
Valega,7005,40.83629,-8.58061
Silveira,6942,39.1112,-9.3643
Arrifana,6927,40.91565,-8.49657
Arcos,6805,41.52185,-8.42151
Pacos de Ferreira,6782,41.27657,-8.37617
Amarante,6782,41.27271,-8.08245
Sao Joao,6762,40.86802,-8.60672
Arcos,6725,40.44779,-8.44171
Sobrado,6703,41.21041,-8.45488
Aveleda,6671,41.52113,-8.46682
Negrelos,6664,41.34946,-8.40145
Fazendas de Almeirim,6635,39.17553,-8.56927
A dos Cunhados,6594,39.15237,-9.2972
Serpa,6586,37.94581,-7.59754
Macedo de Cavaleiros,6566,41.53816,-6.9611
Avanca,6540,40.80771,-8.5722
Prior Velho,6500,38.79174,-9.12119
Sao Romao,6500,40.40118,-7.71464
Cacilhas,6494,38.68638,-9.14938
Sandim,6449,41.03508,-8.507
Carrazeda de Anciaes,6373,41.24247,-7.30721
Sabrosa,6361,41.26702,-7.57601
Tabuaco,6350,41.11615,-7.56793
Foz do Sousa,6315,41.09668,-8.50184
Lagoa,6301,37.13535,-8.45319
Perozinho,6259,41.06513,-8.58531
Oliveira do Bairro,6239,40.5146,-8.49386
Santa Cruz do Bispo,6230,41.21462,-8.67406
Oliveira,6222,41.47819,-8.46965
Arruda dos Vinhos,6170,38.98411,-9.07746
Aljubarrota,6146,39.56715,-8.92925
Marinhas,6052,41.55906,-8.78297
Lobao,6049,40.98664,-8.48566
Gandra,6034,41.20116,-8.43376
Porto de Mos,6032,39.60191,-8.81839
Fontanelas,6001,38.84806,-9.43942
Eixo,5978,40.62758,-8.56922
Olival do Basto,5959,38.79079,-9.16621
Milharado,5935,38.94732,-9.19914
Vidigueira,5932,38.20995,-7.8005
Arazede,5906,40.28627,-8.64999
Aljezur,5884,37.31745,-8.80147
Bombarral,5852,39.26723,-9.15795
Vila Nova da Telha,5848,41.0717,-8.64146
Redondo,5845,38.64872,-7.54708
Odemira,5830,37.59798,-8.63972
Vieira de Leiria,5807,39.86945,-8.93238
Marinhais,5788,39.0473,-8.70236
Monte Real,5756,39.8521,-8.86349
Boticas,5750,41.68939,-7.66914
Caldelas,5724,41.67101,-8.38148
Caldas das Taipas,5723,41.48465,-8.3485
Oleiros,5721,39.91893,-7.9137
Olival,5715,41.05024,-8.54416
Sernancelhe,5671,40.89871,-7.49342
Serta,5636,39.80205,-8.09589
Branca,5632,40.76653,-8.48262
Lamas,5628,40.98597,-8.56923
Moreira de Conegos,5607,41.3868,-8.3394
Trafaria,5603,38.67222,-9.23268
Carregal do Sal,5600,40.43333,-8
Sao Roque,5575,40.87216,-8.47149
Barrosas,5573,41.35534,-8.29943
Vilela,5540,41.22511,-7.60338
Poiares,5514,40.21026,-8.25746
Pataias,5510,39.66978,-8.9958
Aguiar da Beira,5473,40.81726,-7.54431
Riachos,5463,39.44472,-8.5142
Urgeses,5457,41.4272,-8.29796
Monchique,5421,37.31775,-8.55529
Sao Miguel do Couto,5416,41.33167,-8.46185
Galegos,5404,41.56268,-8.57204
